"# Figure 4: the full classification to a,b,c <= 12. Z never intersects the quark-hosting set"
a,b,c,boxes,parity,in_Z_degenerate,hosts_quark_cell,pairs_at
0,0,1,3,odd,False,False,even m
0,0,2,6,even,False,False,odd m
0,0,3,9,odd,False,False,even m
0,0,4,12,even,False,False,odd m
0,0,5,15,odd,False,False,even m
0,0,6,18,even,False,False,odd m
0,0,7,21,odd,False,False,even m
0,0,8,24,even,False,False,odd m
0,0,9,27,odd,False,False,even m
0,0,10,30,even,False,False,odd m
0,0,11,33,odd,False,False,even m
0,0,12,36,even,False,False,odd m
0,1,0,2,even,True,False,odd m
0,1,1,5,odd,False,False,even m
0,1,2,8,even,False,False,odd m
0,1,3,11,odd,False,True,even m
0,1,4,14,even,False,False,odd m
0,1,5,17,odd,False,True,even m
0,1,6,20,even,False,False,odd m
0,1,7,23,odd,False,True,even m
0,1,8,26,even,False,False,odd m
0,1,9,29,odd,False,True,even m
0,1,10,32,even,False,False,odd m
0,1,11,35,odd,False,True,even m
0,1,12,38,even,False,False,odd m
0,2,0,4,even,False,False,odd m
0,2,1,7,odd,False,True,even m
0,2,2,10,even,False,False,odd m
0,2,3,13,odd,False,True,even m
0,2,4,16,even,False,False,odd m
0,2,5,19,odd,False,True,even m
0,2,6,22,even,False,False,odd m
0,2,7,25,odd,False,True,even m
0,2,8,28,even,False,False,odd m
0,2,9,31,odd,False,True,even m
0,2,10,34,even,False,False,odd m
0,2,11,37,odd,False,True,even m
0,2,12,40,even,False,False,odd m
0,3,0,6,even,True,False,odd m
0,3,1,9,odd,False,True,even m
0,3,2,12,even,False,False,odd m
0,3,3,15,odd,False,True,even m
0,3,4,18,even,False,False,odd m
0,3,5,21,odd,False,True,even m
0,3,6,24,even,False,False,odd m
0,3,7,27,odd,False,True,even m
0,3,8,30,even,False,False,odd m
0,3,9,33,odd,False,True,even m
0,3,10,36,even,False,False,odd m
0,3,11,39,odd,False,True,even m
0,3,12,42,even,False,False,odd m
0,4,0,8,even,False,False,odd m
0,4,1,11,odd,False,True,even m
0,4,2,14,even,False,False,odd m
0,4,3,17,odd,False,True,even m
0,4,4,20,even,False,False,odd m
0,4,5,23,odd,False,True,even m
0,4,6,26,even,False,False,odd m
0,4,7,29,odd,False,True,even m
0,4,8,32,even,False,False,odd m
0,4,9,35,odd,False,True,even m
0,4,10,38,even,False,False,odd m
0,4,11,41,odd,False,True,even m
0,4,12,44,even,False,False,odd m
0,5,0,10,even,True,False,odd m
0,5,1,13,odd,False,True,even m
0,5,2,16,even,False,False,odd m
0,5,3,19,odd,False,True,even m
0,5,4,22,even,False,False,odd m
0,5,5,25,odd,False,True,even m
0,5,6,28,even,False,False,odd m
0,5,7,31,odd,False,True,even m
0,5,8,34,even,False,False,odd m
0,5,9,37,odd,False,True,even m
0,5,10,40,even,False,False,odd m
0,5,11,43,odd,False,True,even m
0,5,12,46,even,False,False,odd m
0,6,0,12,even,False,False,odd m
0,6,1,15,odd,False,True,even m
0,6,2,18,even,False,False,odd m
0,6,3,21,odd,False,True,even m
0,6,4,24,even,False,False,odd m
0,6,5,27,odd,False,True,even m
0,6,6,30,even,False,False,odd m
0,6,7,33,odd,False,True,even m
0,6,8,36,even,False,False,odd m
0,6,9,39,odd,False,True,even m
0,6,10,42,even,False,False,odd m
0,6,11,45,odd,False,True,even m
0,6,12,48,even,False,False,odd m
0,7,0,14,even,True,False,odd m
0,7,1,17,odd,False,True,even m
0,7,2,20,even,False,False,odd m
0,7,3,23,odd,False,True,even m
0,7,4,26,even,False,False,odd m
0,7,5,29,odd,False,True,even m
0,7,6,32,even,False,False,odd m
0,7,7,35,odd,False,True,even m
0,7,8,38,even,False,False,odd m
0,7,9,41,odd,False,True,even m
0,7,10,44,even,False,False,odd m
0,7,11,47,odd,False,True,even m
0,7,12,50,even,False,False,odd m
0,8,0,16,even,False,False,odd m
0,8,1,19,odd,False,True,even m
0,8,2,22,even,False,False,odd m
0,8,3,25,odd,False,True,even m
0,8,4,28,even,False,False,odd m
0,8,5,31,odd,False,True,even m
0,8,6,34,even,False,False,odd m
0,8,7,37,odd,False,True,even m
0,8,8,40,even,False,False,odd m
0,8,9,43,odd,False,True,even m
0,8,10,46,even,False,False,odd m
0,8,11,49,odd,False,True,even m
0,8,12,52,even,False,False,odd m
0,9,0,18,even,True,False,odd m
0,9,1,21,odd,False,True,even m
0,9,2,24,even,False,False,odd m
0,9,3,27,odd,False,True,even m
0,9,4,30,even,False,False,odd m
0,9,5,33,odd,False,True,even m
0,9,6,36,even,False,False,odd m
0,9,7,39,odd,False,True,even m
0,9,8,42,even,False,False,odd m
0,9,9,45,odd,False,True,even m
0,9,10,48,even,False,False,odd m
0,9,11,51,odd,False,True,even m
0,9,12,54,even,False,False,odd m
0,10,0,20,even,False,False,odd m
0,10,1,23,odd,False,True,even m
0,10,2,26,even,False,False,odd m
0,10,3,29,odd,False,True,even m
0,10,4,32,even,False,False,odd m
0,10,5,35,odd,False,True,even m
0,10,6,38,even,False,False,odd m
0,10,7,41,odd,False,True,even m
0,10,8,44,even,False,False,odd m
0,10,9,47,odd,False,True,even m
0,10,10,50,even,False,False,odd m
0,10,11,53,odd,False,True,even m
0,10,12,56,even,False,False,odd m
0,11,0,22,even,True,False,odd m
0,11,1,25,odd,False,True,even m
0,11,2,28,even,False,False,odd m
0,11,3,31,odd,False,True,even m
0,11,4,34,even,False,False,odd m
0,11,5,37,odd,False,True,even m
0,11,6,40,even,False,False,odd m
0,11,7,43,odd,False,True,even m
0,11,8,46,even,False,False,odd m
0,11,9,49,odd,False,True,even m
0,11,10,52,even,False,False,odd m
0,11,11,55,odd,False,True,even m
0,11,12,58,even,False,False,odd m
0,12,0,24,even,False,False,odd m
0,12,1,27,odd,False,True,even m
0,12,2,30,even,False,False,odd m
0,12,3,33,odd,False,True,even m
0,12,4,36,even,False,False,odd m
0,12,5,39,odd,False,True,even m
0,12,6,42,even,False,False,odd m
0,12,7,45,odd,False,True,even m
0,12,8,48,even,False,False,odd m
0,12,9,51,odd,False,True,even m
0,12,10,54,even,False,False,odd m
0,12,11,57,odd,False,True,even m
0,12,12,60,even,False,False,odd m
1,0,0,1,odd,False,False,even m
1,0,1,4,even,False,False,odd m
1,0,2,7,odd,False,False,even m
1,0,3,10,even,False,False,odd m
1,0,4,13,odd,False,False,even m
1,0,5,16,even,False,False,odd m
1,0,6,19,odd,False,False,even m
1,0,7,22,even,False,False,odd m
1,0,8,25,odd,False,False,even m
1,0,9,28,even,False,False,odd m
1,0,10,31,odd,False,False,even m
1,0,11,34,even,False,False,odd m
1,0,12,37,odd,False,False,even m
1,1,0,3,odd,False,False,even m
1,1,1,6,even,True,False,odd m
1,1,2,9,odd,False,True,even m
1,1,3,12,even,True,False,odd m
1,1,4,15,odd,False,True,even m
1,1,5,18,even,True,False,odd m
1,1,6,21,odd,False,True,even m
1,1,7,24,even,True,False,odd m
1,1,8,27,odd,False,True,even m
1,1,9,30,even,True,False,odd m
1,1,10,33,odd,False,True,even m
1,1,11,36,even,True,False,odd m
1,1,12,39,odd,False,True,even m
1,2,0,5,odd,False,True,even m
1,2,1,8,even,False,False,odd m
1,2,2,11,odd,False,True,even m
1,2,3,14,even,False,False,odd m
1,2,4,17,odd,False,True,even m
1,2,5,20,even,False,False,odd m
1,2,6,23,odd,False,True,even m
1,2,7,26,even,False,False,odd m
1,2,8,29,odd,False,True,even m
1,2,9,32,even,False,False,odd m
1,2,10,35,odd,False,True,even m
1,2,11,38,even,False,False,odd m
1,2,12,41,odd,False,True,even m
1,3,0,7,odd,False,True,even m
1,3,1,10,even,True,False,odd m
1,3,2,13,odd,False,True,even m
1,3,3,16,even,True,False,odd m
1,3,4,19,odd,False,True,even m
1,3,5,22,even,True,False,odd m
1,3,6,25,odd,False,True,even m
1,3,7,28,even,True,False,odd m
1,3,8,31,odd,False,True,even m
1,3,9,34,even,True,False,odd m
1,3,10,37,odd,False,True,even m
1,3,11,40,even,True,False,odd m
1,3,12,43,odd,False,True,even m
1,4,0,9,odd,False,True,even m
1,4,1,12,even,False,False,odd m
1,4,2,15,odd,False,True,even m
1,4,3,18,even,False,False,odd m
1,4,4,21,odd,False,True,even m
1,4,5,24,even,False,False,odd m
1,4,6,27,odd,False,True,even m
1,4,7,30,even,False,False,odd m
1,4,8,33,odd,False,True,even m
1,4,9,36,even,False,False,odd m
1,4,10,39,odd,False,True,even m
1,4,11,42,even,False,False,odd m
1,4,12,45,odd,False,True,even m
1,5,0,11,odd,False,True,even m
1,5,1,14,even,True,False,odd m
1,5,2,17,odd,False,True,even m
1,5,3,20,even,True,False,odd m
1,5,4,23,odd,False,True,even m
1,5,5,26,even,True,False,odd m
1,5,6,29,odd,False,True,even m
1,5,7,32,even,True,False,odd m
1,5,8,35,odd,False,True,even m
1,5,9,38,even,True,False,odd m
1,5,10,41,odd,False,True,even m
1,5,11,44,even,True,False,odd m
1,5,12,47,odd,False,True,even m
1,6,0,13,odd,False,True,even m
1,6,1,16,even,False,False,odd m
1,6,2,19,odd,False,True,even m
1,6,3,22,even,False,False,odd m
1,6,4,25,odd,False,True,even m
1,6,5,28,even,False,False,odd m
1,6,6,31,odd,False,True,even m
1,6,7,34,even,False,False,odd m
1,6,8,37,odd,False,True,even m
1,6,9,40,even,False,False,odd m
1,6,10,43,odd,False,True,even m
1,6,11,46,even,False,False,odd m
1,6,12,49,odd,False,True,even m
1,7,0,15,odd,False,True,even m
1,7,1,18,even,True,False,odd m
1,7,2,21,odd,False,True,even m
1,7,3,24,even,True,False,odd m
1,7,4,27,odd,False,True,even m
1,7,5,30,even,True,False,odd m
1,7,6,33,odd,False,True,even m
1,7,7,36,even,True,False,odd m
1,7,8,39,odd,False,True,even m
1,7,9,42,even,True,False,odd m
1,7,10,45,odd,False,True,even m
1,7,11,48,even,True,False,odd m
1,7,12,51,odd,False,True,even m
1,8,0,17,odd,False,True,even m
1,8,1,20,even,False,False,odd m
1,8,2,23,odd,False,True,even m
1,8,3,26,even,False,False,odd m
1,8,4,29,odd,False,True,even m
1,8,5,32,even,False,False,odd m
1,8,6,35,odd,False,True,even m
1,8,7,38,even,False,False,odd m
1,8,8,41,odd,False,True,even m
1,8,9,44,even,False,False,odd m
1,8,10,47,odd,False,True,even m
1,8,11,50,even,False,False,odd m
1,8,12,53,odd,False,True,even m
1,9,0,19,odd,False,True,even m
1,9,1,22,even,True,False,odd m
1,9,2,25,odd,False,True,even m
1,9,3,28,even,True,False,odd m
1,9,4,31,odd,False,True,even m
1,9,5,34,even,True,False,odd m
1,9,6,37,odd,False,True,even m
1,9,7,40,even,True,False,odd m
1,9,8,43,odd,False,True,even m
1,9,9,46,even,True,False,odd m
1,9,10,49,odd,False,True,even m
1,9,11,52,even,True,False,odd m
1,9,12,55,odd,False,True,even m
1,10,0,21,odd,False,True,even m
1,10,1,24,even,False,False,odd m
1,10,2,27,odd,False,True,even m
1,10,3,30,even,False,False,odd m
1,10,4,33,odd,False,True,even m
1,10,5,36,even,False,False,odd m
1,10,6,39,odd,False,True,even m
1,10,7,42,even,False,False,odd m
1,10,8,45,odd,False,True,even m
1,10,9,48,even,False,False,odd m
1,10,10,51,odd,False,True,even m
1,10,11,54,even,False,False,odd m
1,10,12,57,odd,False,True,even m
1,11,0,23,odd,False,True,even m
1,11,1,26,even,True,False,odd m
1,11,2,29,odd,False,True,even m
1,11,3,32,even,True,False,odd m
1,11,4,35,odd,False,True,even m
1,11,5,38,even,True,False,odd m
1,11,6,41,odd,False,True,even m
1,11,7,44,even,True,False,odd m
1,11,8,47,odd,False,True,even m
1,11,9,50,even,True,False,odd m
1,11,10,53,odd,False,True,even m
1,11,11,56,even,True,False,odd m
1,11,12,59,odd,False,True,even m
1,12,0,25,odd,False,True,even m
1,12,1,28,even,False,False,odd m
1,12,2,31,odd,False,True,even m
1,12,3,34,even,False,False,odd m
1,12,4,37,odd,False,True,even m
1,12,5,40,even,False,False,odd m
1,12,6,43,odd,False,True,even m
1,12,7,46,even,False,False,odd m
1,12,8,49,odd,False,True,even m
1,12,9,52,even,False,False,odd m
1,12,10,55,odd,False,True,even m
1,12,11,58,even,False,False,odd m
1,12,12,61,odd,False,True,even m
2,0,0,2,even,False,False,odd m
2,0,1,5,odd,False,False,even m
2,0,2,8,even,False,False,odd m
2,0,3,11,odd,False,False,even m
2,0,4,14,even,False,False,odd m
2,0,5,17,odd,False,False,even m
2,0,6,20,even,False,False,odd m
2,0,7,23,odd,False,False,even m
2,0,8,26,even,False,False,odd m
2,0,9,29,odd,False,False,even m
2,0,10,32,even,False,False,odd m
2,0,11,35,odd,False,False,even m
2,0,12,38,even,False,False,odd m
2,1,0,4,even,False,False,odd m
2,1,1,7,odd,False,True,even m
2,1,2,10,even,True,False,odd m
2,1,3,13,odd,False,True,even m
2,1,4,16,even,False,False,odd m
2,1,5,19,odd,False,True,even m
2,1,6,22,even,False,False,odd m
2,1,7,25,odd,False,True,even m
2,1,8,28,even,False,False,odd m
2,1,9,31,odd,False,True,even m
2,1,10,34,even,False,False,odd m
2,1,11,37,odd,False,True,even m
2,1,12,40,even,False,False,odd m
2,2,0,6,even,False,False,odd m
2,2,1,9,odd,False,True,even m
2,2,2,12,even,False,False,odd m
2,2,3,15,odd,False,True,even m
2,2,4,18,even,False,False,odd m
2,2,5,21,odd,False,True,even m
2,2,6,24,even,False,False,odd m
2,2,7,27,odd,False,True,even m
2,2,8,30,even,False,False,odd m
2,2,9,33,odd,False,True,even m
2,2,10,36,even,False,False,odd m
2,2,11,39,odd,False,True,even m
2,2,12,42,even,False,False,odd m
2,3,0,8,even,False,False,odd m
2,3,1,11,odd,False,True,even m
2,3,2,14,even,True,False,odd m
2,3,3,17,odd,False,True,even m
2,3,4,20,even,False,False,odd m
2,3,5,23,odd,False,True,even m
2,3,6,26,even,False,False,odd m
2,3,7,29,odd,False,True,even m
2,3,8,32,even,False,False,odd m
2,3,9,35,odd,False,True,even m
2,3,10,38,even,False,False,odd m
2,3,11,41,odd,False,True,even m
2,3,12,44,even,False,False,odd m
2,4,0,10,even,False,False,odd m
2,4,1,13,odd,False,True,even m
2,4,2,16,even,False,False,odd m
2,4,3,19,odd,False,True,even m
2,4,4,22,even,False,False,odd m
2,4,5,25,odd,False,True,even m
2,4,6,28,even,False,False,odd m
2,4,7,31,odd,False,True,even m
2,4,8,34,even,False,False,odd m
2,4,9,37,odd,False,True,even m
2,4,10,40,even,False,False,odd m
2,4,11,43,odd,False,True,even m
2,4,12,46,even,False,False,odd m
2,5,0,12,even,False,False,odd m
2,5,1,15,odd,False,True,even m
2,5,2,18,even,True,False,odd m
2,5,3,21,odd,False,True,even m
2,5,4,24,even,False,False,odd m
2,5,5,27,odd,False,True,even m
2,5,6,30,even,False,False,odd m
2,5,7,33,odd,False,True,even m
2,5,8,36,even,False,False,odd m
2,5,9,39,odd,False,True,even m
2,5,10,42,even,False,False,odd m
2,5,11,45,odd,False,True,even m
2,5,12,48,even,False,False,odd m
2,6,0,14,even,False,False,odd m
2,6,1,17,odd,False,True,even m
2,6,2,20,even,False,False,odd m
2,6,3,23,odd,False,True,even m
2,6,4,26,even,False,False,odd m
2,6,5,29,odd,False,True,even m
2,6,6,32,even,False,False,odd m
2,6,7,35,odd,False,True,even m
2,6,8,38,even,False,False,odd m
2,6,9,41,odd,False,True,even m
2,6,10,44,even,False,False,odd m
2,6,11,47,odd,False,True,even m
2,6,12,50,even,False,False,odd m
2,7,0,16,even,False,False,odd m
2,7,1,19,odd,False,True,even m
2,7,2,22,even,True,False,odd m
2,7,3,25,odd,False,True,even m
2,7,4,28,even,False,False,odd m
2,7,5,31,odd,False,True,even m
2,7,6,34,even,False,False,odd m
2,7,7,37,odd,False,True,even m
2,7,8,40,even,False,False,odd m
2,7,9,43,odd,False,True,even m
2,7,10,46,even,False,False,odd m
2,7,11,49,odd,False,True,even m
2,7,12,52,even,False,False,odd m
2,8,0,18,even,False,False,odd m
2,8,1,21,odd,False,True,even m
2,8,2,24,even,False,False,odd m
2,8,3,27,odd,False,True,even m
2,8,4,30,even,False,False,odd m
2,8,5,33,odd,False,True,even m
2,8,6,36,even,False,False,odd m
2,8,7,39,odd,False,True,even m
2,8,8,42,even,False,False,odd m
2,8,9,45,odd,False,True,even m
2,8,10,48,even,False,False,odd m
2,8,11,51,odd,False,True,even m
2,8,12,54,even,False,False,odd m
2,9,0,20,even,False,False,odd m
2,9,1,23,odd,False,True,even m
2,9,2,26,even,True,False,odd m
2,9,3,29,odd,False,True,even m
2,9,4,32,even,False,False,odd m
2,9,5,35,odd,False,True,even m
2,9,6,38,even,False,False,odd m
2,9,7,41,odd,False,True,even m
2,9,8,44,even,False,False,odd m
2,9,9,47,odd,False,True,even m
2,9,10,50,even,False,False,odd m
2,9,11,53,odd,False,True,even m
2,9,12,56,even,False,False,odd m
2,10,0,22,even,False,False,odd m
2,10,1,25,odd,False,True,even m
2,10,2,28,even,False,False,odd m
2,10,3,31,odd,False,True,even m
2,10,4,34,even,False,False,odd m
2,10,5,37,odd,False,True,even m
2,10,6,40,even,False,False,odd m
2,10,7,43,odd,False,True,even m
2,10,8,46,even,False,False,odd m
2,10,9,49,odd,False,True,even m
2,10,10,52,even,False,False,odd m
2,10,11,55,odd,False,True,even m
2,10,12,58,even,False,False,odd m
2,11,0,24,even,False,False,odd m
2,11,1,27,odd,False,True,even m
2,11,2,30,even,True,False,odd m
2,11,3,33,odd,False,True,even m
2,11,4,36,even,False,False,odd m
2,11,5,39,odd,False,True,even m
2,11,6,42,even,False,False,odd m
2,11,7,45,odd,False,True,even m
2,11,8,48,even,False,False,odd m
2,11,9,51,odd,False,True,even m
2,11,10,54,even,False,False,odd m
2,11,11,57,odd,False,True,even m
2,11,12,60,even,False,False,odd m
2,12,0,26,even,False,False,odd m
2,12,1,29,odd,False,True,even m
2,12,2,32,even,False,False,odd m
2,12,3,35,odd,False,True,even m
2,12,4,38,even,False,False,odd m
2,12,5,41,odd,False,True,even m
2,12,6,44,even,False,False,odd m
2,12,7,47,odd,False,True,even m
2,12,8,50,even,False,False,odd m
2,12,9,53,odd,False,True,even m
2,12,10,56,even,False,False,odd m
2,12,11,59,odd,False,True,even m
2,12,12,62,even,False,False,odd m
3,0,0,3,odd,False,False,even m
3,0,1,6,even,False,False,odd m
3,0,2,9,odd,False,False,even m
3,0,3,12,even,False,False,odd m
3,0,4,15,odd,False,False,even m
3,0,5,18,even,False,False,odd m
3,0,6,21,odd,False,False,even m
3,0,7,24,even,False,False,odd m
3,0,8,27,odd,False,False,even m
3,0,9,30,even,False,False,odd m
3,0,10,33,odd,False,False,even m
3,0,11,36,even,False,False,odd m
3,0,12,39,odd,False,False,even m
3,1,0,5,odd,False,True,even m
3,1,1,8,even,True,False,odd m
3,1,2,11,odd,False,True,even m
3,1,3,14,even,True,False,odd m
3,1,4,17,odd,False,True,even m
3,1,5,20,even,True,False,odd m
3,1,6,23,odd,False,True,even m
3,1,7,26,even,True,False,odd m
3,1,8,29,odd,False,True,even m
3,1,9,32,even,True,False,odd m
3,1,10,35,odd,False,True,even m
3,1,11,38,even,True,False,odd m
3,1,12,41,odd,False,True,even m
3,2,0,7,odd,False,True,even m
3,2,1,10,even,False,False,odd m
3,2,2,13,odd,False,True,even m
3,2,3,16,even,False,False,odd m
3,2,4,19,odd,False,True,even m
3,2,5,22,even,False,False,odd m
3,2,6,25,odd,False,True,even m
3,2,7,28,even,False,False,odd m
3,2,8,31,odd,False,True,even m
3,2,9,34,even,False,False,odd m
3,2,10,37,odd,False,True,even m
3,2,11,40,even,False,False,odd m
3,2,12,43,odd,False,True,even m
3,3,0,9,odd,False,True,even m
3,3,1,12,even,True,False,odd m
3,3,2,15,odd,False,True,even m
3,3,3,18,even,True,False,odd m
3,3,4,21,odd,False,True,even m
3,3,5,24,even,True,False,odd m
3,3,6,27,odd,False,True,even m
3,3,7,30,even,True,False,odd m
3,3,8,33,odd,False,True,even m
3,3,9,36,even,True,False,odd m
3,3,10,39,odd,False,True,even m
3,3,11,42,even,True,False,odd m
3,3,12,45,odd,False,True,even m
3,4,0,11,odd,False,True,even m
3,4,1,14,even,False,False,odd m
3,4,2,17,odd,False,True,even m
3,4,3,20,even,False,False,odd m
3,4,4,23,odd,False,True,even m
3,4,5,26,even,False,False,odd m
3,4,6,29,odd,False,True,even m
3,4,7,32,even,False,False,odd m
3,4,8,35,odd,False,True,even m
3,4,9,38,even,False,False,odd m
3,4,10,41,odd,False,True,even m
3,4,11,44,even,False,False,odd m
3,4,12,47,odd,False,True,even m
3,5,0,13,odd,False,True,even m
3,5,1,16,even,True,False,odd m
3,5,2,19,odd,False,True,even m
3,5,3,22,even,True,False,odd m
3,5,4,25,odd,False,True,even m
3,5,5,28,even,True,False,odd m
3,5,6,31,odd,False,True,even m
3,5,7,34,even,True,False,odd m
3,5,8,37,odd,False,True,even m
3,5,9,40,even,True,False,odd m
3,5,10,43,odd,False,True,even m
3,5,11,46,even,True,False,odd m
3,5,12,49,odd,False,True,even m
3,6,0,15,odd,False,True,even m
3,6,1,18,even,False,False,odd m
3,6,2,21,odd,False,True,even m
3,6,3,24,even,False,False,odd m
3,6,4,27,odd,False,True,even m
3,6,5,30,even,False,False,odd m
3,6,6,33,odd,False,True,even m
3,6,7,36,even,False,False,odd m
3,6,8,39,odd,False,True,even m
3,6,9,42,even,False,False,odd m
3,6,10,45,odd,False,True,even m
3,6,11,48,even,False,False,odd m
3,6,12,51,odd,False,True,even m
3,7,0,17,odd,False,True,even m
3,7,1,20,even,True,False,odd m
3,7,2,23,odd,False,True,even m
3,7,3,26,even,True,False,odd m
3,7,4,29,odd,False,True,even m
3,7,5,32,even,True,False,odd m
3,7,6,35,odd,False,True,even m
3,7,7,38,even,True,False,odd m
3,7,8,41,odd,False,True,even m
3,7,9,44,even,True,False,odd m
3,7,10,47,odd,False,True,even m
3,7,11,50,even,True,False,odd m
3,7,12,53,odd,False,True,even m
3,8,0,19,odd,False,True,even m
3,8,1,22,even,False,False,odd m
3,8,2,25,odd,False,True,even m
3,8,3,28,even,False,False,odd m
3,8,4,31,odd,False,True,even m
3,8,5,34,even,False,False,odd m
3,8,6,37,odd,False,True,even m
3,8,7,40,even,False,False,odd m
3,8,8,43,odd,False,True,even m
3,8,9,46,even,False,False,odd m
3,8,10,49,odd,False,True,even m
3,8,11,52,even,False,False,odd m
3,8,12,55,odd,False,True,even m
3,9,0,21,odd,False,True,even m
3,9,1,24,even,True,False,odd m
3,9,2,27,odd,False,True,even m
3,9,3,30,even,True,False,odd m
3,9,4,33,odd,False,True,even m
3,9,5,36,even,True,False,odd m
3,9,6,39,odd,False,True,even m
3,9,7,42,even,True,False,odd m
3,9,8,45,odd,False,True,even m
3,9,9,48,even,True,False,odd m
3,9,10,51,odd,False,True,even m
3,9,11,54,even,True,False,odd m
3,9,12,57,odd,False,True,even m
3,10,0,23,odd,False,True,even m
3,10,1,26,even,False,False,odd m
3,10,2,29,odd,False,True,even m
3,10,3,32,even,False,False,odd m
3,10,4,35,odd,False,True,even m
3,10,5,38,even,False,False,odd m
3,10,6,41,odd,False,True,even m
3,10,7,44,even,False,False,odd m
3,10,8,47,odd,False,True,even m
3,10,9,50,even,False,False,odd m
3,10,10,53,odd,False,True,even m
3,10,11,56,even,False,False,odd m
3,10,12,59,odd,False,True,even m
3,11,0,25,odd,False,True,even m
3,11,1,28,even,True,False,odd m
3,11,2,31,odd,False,True,even m
3,11,3,34,even,True,False,odd m
3,11,4,37,odd,False,True,even m
3,11,5,40,even,True,False,odd m
3,11,6,43,odd,False,True,even m
3,11,7,46,even,True,False,odd m
3,11,8,49,odd,False,True,even m
3,11,9,52,even,True,False,odd m
3,11,10,55,odd,False,True,even m
3,11,11,58,even,True,False,odd m
3,11,12,61,odd,False,True,even m
3,12,0,27,odd,False,True,even m
3,12,1,30,even,False,False,odd m
3,12,2,33,odd,False,True,even m
3,12,3,36,even,False,False,odd m
3,12,4,39,odd,False,True,even m
3,12,5,42,even,False,False,odd m
3,12,6,45,odd,False,True,even m
3,12,7,48,even,False,False,odd m
3,12,8,51,odd,False,True,even m
3,12,9,54,even,False,False,odd m
3,12,10,57,odd,False,True,even m
3,12,11,60,even,False,False,odd m
3,12,12,63,odd,False,True,even m
4,0,0,4,even,False,False,odd m
4,0,1,7,odd,False,False,even m
4,0,2,10,even,False,False,odd m
4,0,3,13,odd,False,False,even m
4,0,4,16,even,False,False,odd m
4,0,5,19,odd,False,False,even m
4,0,6,22,even,False,False,odd m
4,0,7,25,odd,False,False,even m
4,0,8,28,even,False,False,odd m
4,0,9,31,odd,False,False,even m
4,0,10,34,even,False,False,odd m
4,0,11,37,odd,False,False,even m
4,0,12,40,even,False,False,odd m
4,1,0,6,even,False,False,odd m
4,1,1,9,odd,False,True,even m
4,1,2,12,even,False,False,odd m
4,1,3,15,odd,False,True,even m
4,1,4,18,even,True,False,odd m
4,1,5,21,odd,False,True,even m
4,1,6,24,even,False,False,odd m
4,1,7,27,odd,False,True,even m
4,1,8,30,even,False,False,odd m
4,1,9,33,odd,False,True,even m
4,1,10,36,even,False,False,odd m
4,1,11,39,odd,False,True,even m
4,1,12,42,even,False,False,odd m
4,2,0,8,even,False,False,odd m
4,2,1,11,odd,False,True,even m
4,2,2,14,even,False,False,odd m
4,2,3,17,odd,False,True,even m
4,2,4,20,even,False,False,odd m
4,2,5,23,odd,False,True,even m
4,2,6,26,even,False,False,odd m
4,2,7,29,odd,False,True,even m
4,2,8,32,even,False,False,odd m
4,2,9,35,odd,False,True,even m
4,2,10,38,even,False,False,odd m
4,2,11,41,odd,False,True,even m
4,2,12,44,even,False,False,odd m
4,3,0,10,even,False,False,odd m
4,3,1,13,odd,False,True,even m
4,3,2,16,even,False,False,odd m
4,3,3,19,odd,False,True,even m
4,3,4,22,even,True,False,odd m
4,3,5,25,odd,False,True,even m
4,3,6,28,even,False,False,odd m
4,3,7,31,odd,False,True,even m
4,3,8,34,even,False,False,odd m
4,3,9,37,odd,False,True,even m
4,3,10,40,even,False,False,odd m
4,3,11,43,odd,False,True,even m
4,3,12,46,even,False,False,odd m
4,4,0,12,even,False,False,odd m
4,4,1,15,odd,False,True,even m
4,4,2,18,even,False,False,odd m
4,4,3,21,odd,False,True,even m
4,4,4,24,even,False,False,odd m
4,4,5,27,odd,False,True,even m
4,4,6,30,even,False,False,odd m
4,4,7,33,odd,False,True,even m
